,department,time_block,allocation
0,5,1,7
1,5,2,8
2,5,3,8
3,5,4,7
4,5,5,8
5,5,6,7
6,5,7,8
7,5,8,8
8,5,9,7
9,5,10,8
10,5,11,8
11,5,12,8
12,5,13,7
13,5,14,8
14,5,15,8
15,5,16,8
16,5,17,12
17,5,18,13
18,1,1,5
19,1,2,5
20,1,3,5
21,1,4,5
22,1,5,5
23,1,6,5
24,1,7,5
25,1,8,5
26,1,9,5
27,1,10,5
28,1,11,5
29,1,12,5
30,1,13,6
31,1,14,6
32,1,15,6
33,1,16,6
34,1,17,7
35,1,18,6
36,0,1,7
37,0,2,7
38,0,3,7
39,0,4,7
40,0,5,6
41,0,6,6
42,0,7,6
43,0,8,7
44,0,9,7
45,0,10,6
46,0,11,7
47,0,12,7
48,0,13,7
49,0,14,7
50,0,15,7
51,0,16,7
52,0,17,3
53,0,18,3
54,2,1,18
55,2,2,17
56,2,3,17
57,2,4,18
58,2,5,18
59,2,6,18
60,2,7,18
61,2,8,17
62,2,9,18
63,2,10,18
64,2,11,17
65,2,12,17
66,2,13,18
67,2,14,17
68,2,15,17
69,2,16,17
70,2,17,9
71,2,18,9
72,3,1,6
73,3,2,6
74,3,3,6
75,3,4,6
76,3,5,6
77,3,6,6
78,3,7,6
79,3,8,6
80,3,9,6
81,3,10,6
82,3,11,6
83,3,12,6
84,3,13,6
85,3,14,6
86,3,15,6
87,3,16,6
88,3,17,4
89,3,18,5
90,4,1,7
91,4,2,7
92,4,3,7
93,4,4,7
94,4,5,7
95,4,6,8
96,4,7,7
97,4,8,7
98,4,9,7
99,4,10,7
100,4,11,7
101,4,12,7
102,4,13,6
103,4,14,6
104,4,15,6
105,4,16,6
106,4,17,4
107,4,18,5
108,6,1,0
109,6,2,0
110,6,3,0
111,6,4,0
112,6,5,0
113,6,6,0
114,6,7,0
115,6,8,0
116,6,9,0
117,6,10,0
118,6,11,0
119,6,12,0
120,6,13,0
121,6,14,0
122,6,15,0
123,6,16,0
124,6,17,1
125,6,18,1
