Department, TimeBlock, Allocation
School of Social and Behavioral Sciences,1,7
School of Social and Behavioral Sciences,2,8
School of Social and Behavioral Sciences,3,8
School of Social and Behavioral Sciences,4,7
School of Social and Behavioral Sciences,5,8
School of Social and Behavioral Sciences,6,7
School of Social and Behavioral Sciences,7,8
School of Social and Behavioral Sciences,8,8
School of Social and Behavioral Sciences,9,7
School of Social and Behavioral Sciences,10,8
School of Social and Behavioral Sciences,11,8
School of Social and Behavioral Sciences,12,8
School of Social and Behavioral Sciences,13,7
School of Social and Behavioral Sciences,14,8
School of Social and Behavioral Sciences,15,8
School of Social and Behavioral Sciences,16,8
School of Social and Behavioral Sciences,17,12
School of Social and Behavioral Sciences,18,13
School of Computer Science and Mathematics,1,5
School of Computer Science and Mathematics,2,5
School of Computer Science and Mathematics,3,5
School of Computer Science and Mathematics,4,5
School of Computer Science and Mathematics,5,5
School of Computer Science and Mathematics,6,5
School of Computer Science and Mathematics,7,5
School of Computer Science and Mathematics,8,5
School of Computer Science and Mathematics,9,5
School of Computer Science and Mathematics,10,5
School of Computer Science and Mathematics,11,5
School of Computer Science and Mathematics,12,5
School of Computer Science and Mathematics,13,6
School of Computer Science and Mathematics,14,6
School of Computer Science and Mathematics,15,6
School of Computer Science and Mathematics,16,6
School of Computer Science and Mathematics,17,7
School of Computer Science and Mathematics,18,6
School of Communication and the Arts,1,7
School of Communication and the Arts,2,7
School of Communication and the Arts,3,7
School of Communication and the Arts,4,7
School of Communication and the Arts,5,6
School of Communication and the Arts,6,6
School of Communication and the Arts,7,6
School of Communication and the Arts,8,7
School of Communication and the Arts,9,7
School of Communication and the Arts,10,6
School of Communication and the Arts,11,7
School of Communication and the Arts,12,7
School of Communication and the Arts,13,7
School of Communication and the Arts,14,7
School of Communication and the Arts,15,7
School of Communication and the Arts,16,7
School of Communication and the Arts,17,3
School of Communication and the Arts,18,3
School of Liberal Arts,1,18
School of Liberal Arts,2,17
School of Liberal Arts,3,17
School of Liberal Arts,4,18
School of Liberal Arts,5,18
School of Liberal Arts,6,18
School of Liberal Arts,7,18
School of Liberal Arts,8,17
School of Liberal Arts,9,18
School of Liberal Arts,10,18
School of Liberal Arts,11,17
School of Liberal Arts,12,17
School of Liberal Arts,13,18
School of Liberal Arts,14,17
School of Liberal Arts,15,17
School of Liberal Arts,16,17
School of Liberal Arts,17,9
School of Liberal Arts,18,9
School of Management,1,6
School of Management,2,6
School of Management,3,6
School of Management,4,6
School of Management,5,6
School of Management,6,6
School of Management,7,6
School of Management,8,6
School of Management,9,6
School of Management,10,6
School of Management,11,6
School of Management,12,6
School of Management,13,6
School of Management,14,6
School of Management,15,6
School of Management,16,6
School of Management,17,4
School of Management,18,5
School of Science,1,7
School of Science,2,7
School of Science,3,7
School of Science,4,7
School of Science,5,7
School of Science,6,8
School of Science,7,7
School of Science,8,7
School of Science,9,7
School of Science,10,7
School of Science,11,7
School of Science,12,7
School of Science,13,6
School of Science,14,6
School of Science,15,6
School of Science,16,6
School of Science,17,4
School of Science,18,5
School of Adult Eduation,1,0
School of Adult Eduation,2,0
School of Adult Eduation,3,0
School of Adult Eduation,4,0
School of Adult Eduation,5,0
School of Adult Eduation,6,0
School of Adult Eduation,7,0
School of Adult Eduation,8,0
School of Adult Eduation,9,0
School of Adult Eduation,10,0
School of Adult Eduation,11,0
School of Adult Eduation,12,0
School of Adult Eduation,13,0
School of Adult Eduation,14,0
School of Adult Eduation,15,0
School of Adult Eduation,16,0
School of Adult Eduation,17,1
School of Adult Eduation,18,1
