start,end,number,day
480,555,1,MO
480,555,3,TU
480,555,5,WE
480,555,1,TH
480,555,3,FR
570,645,2,MO
570,645,4,TU
570,645,6,WE
570,645,2,TH
570,645,4,FR
660,735,6,MO
660,735,7,TU
660,735,7,TH
660,735,5,FR
750,825,8,MO
750,825,9,TU
750,825,8,TH
750,825,9,FR
840,915,10,MO
840,915,11,TU
840,915,12,WE
840,915,10,TH
840,915,11,FR
930,1005,13,MO
930,1005,14,TU
930,1005,13,WE
930,1005,14,TH
930,1005,12,FR
1020,1095,15,MO
1020,1095,16,TU
1020,1095,15,WE
1020,1095,16,TH
1110,1185,17,MO
1110,1185,18,TU
1110,1185,17,WE
1110,1185,18,TH
1110,1275,21,MO
1110,1275,22,TU
1110,1275,23,WE
1110,1275,24,TH
1200,1275,19,MO
1200,1275,20,TU
1200,1275,19,WE
1200,1275,20,TH
